fecha,cod_ine,region,cases,deceased,hospitalized,uci,recovered,r_cases,r_deceased,r_hospitalized,r_uci,r_recovered
02-27,10,C. Valenciana,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
02-28,10,C. Valenciana,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0
02-29,10,C. Valenciana,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0
03-01,10,C. Valenciana,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0
03-02,10,C. Valenciana,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0
03-03,10,C. Valenciana,15,0,0,0,0,0.29977403033593275,0.0,0.0,0.0,0.0
03-04,10,C. Valenciana,19,1,0,0,0,0.3797137717588482,0.01998493535572885,0.0,0.0,0.0
03-05,10,C. Valenciana,19,1,0,0,0,0.3797137717588482,0.01998493535572885,0.0,0.0,0.0
03-06,10,C. Valenciana,30,1,0,1,0,0.5995480606718655,0.01998493535572885,0.0,0.01998493535572885,0.0
03-07,10,C. Valenciana,30,1,0,0,0,0.5995480606718655,0.01998493535572885,0.0,0.0,0.0
03-08,10,C. Valenciana,37,1,0,0,0,0.7394426081619675,0.01998493535572885,0.0,0.0,0.0
03-09,10,C. Valenciana,37,1,0,1,0,0.7394426081619675,0.01998493535572885,0.0,0.01998493535572885,0.0
03-10,10,C. Valenciana,50,1,0,1,0,0.9992467677864426,0.01998493535572885,0.0,0.01998493535572885,0.0
03-11,10,C. Valenciana,65,1,0,1,0,1.2990207981223754,0.01998493535572885,0.0,0.01998493535572885,0.0
03-12,10,C. Valenciana,76,1,0,2,0,1.5188550870353927,0.01998493535572885,0.0,0.0399698707114577,0.0
03-13,10,C. Valenciana,94,1,0,2,0,1.878583923438512,0.01998493535572885,0.0,0.0399698707114577,0.0
03-14,10,C. Valenciana,130,4,0,0,0,2.5980415962447507,0.0799397414229154,0.0,0.0,0.0
03-15,10,C. Valenciana,409,5,0,0,0,8.1738385604931,0.09992467677864426,0.0,0.0,0.0
03-16,10,C. Valenciana,409,5,0,4,2,8.1738385604931,0.09992467677864426,0.0,0.0799397414229154,0.0399698707114577
03-17,10,C. Valenciana,541,13,0,27,12,10.811850027449308,0.25980415962447506,0.0,0.539593254604679,0.23981922426874622
03-18,10,C. Valenciana,726,22,0,40,16,14.509063068259147,0.43966857782603475,0.0,0.7993974142291541,0.3197589656916616
03-19,10,C. Valenciana,921,24,0,52,19,18.40612546262627,0.47963844853749243,0.0,1.0392166384979002,0.3797137717588482
03-20,10,C. Valenciana,1105,33,0,71,20,22.08335356808038,0.6595028667390521,0.0,1.4189304102567484,0.39969870711457706
03-21,10,C. Valenciana,1363,50,476,84,25,27.239466889858424,0.9992467677864426,9.512829229326933,1.6787345698812235,0.4996233838932213
03-22,10,C. Valenciana,1604,69,590,113,30,32.05583631058908,1.3789605395452909,11.791111859880022,2.2582976951973603,0.5995480606718655
03-23,10,C. Valenciana,1901,94,702,138,36,37.99136211124055,1.878583923438512,14.029424619721654,2.7579210790905817,0.7194576728062386
03-24,10,C. Valenciana,2167,115,917,161,37,43.30735491586442,2.298267565908818,18.326185721203355,3.2175745922723453,0.7394426081619675
03-25,10,C. Valenciana,2616,143,1071,198,44,52.28059089058667,2.8578457558692256,21.4038657659856,3.9570172004343127,0.8793371556520695
03-26,10,C. Valenciana,3200,167,1278,230,57,63.95179313833233,3.337484204406718,25.540747384621472,4.596535131817636,1.1391413152765446
03-27,10,C. Valenciana,3532,198,1422,252,73,70.5867916764343,3.9570172004343127,28.418578075846426,5.0362037096436705,1.4589002809682061
03-28,10,C. Valenciana,4034,234,1694,282,92,80.61922922501019,4.676474873240552,33.85448049260467,5.635751770315536,1.8386140527270542
03-29,10,C. Valenciana,4784,267,1874,309,161,95.60793074180683,5.335977739979604,37.451768856635866,6.175345024920215,3.2175745922723453
03-30,10,C. Valenciana,5110,310,2042,336,185,102.12301966777443,6.195329960275944,40.809237996398316,6.714938279524894,3.6972130408098374
03-31,10,C. Valenciana,5508,339,2189,356,200,110.07702393935452,6.774893085592081,43.747023493690456,7.114636986639471,3.9969870711457705
